1,172.16.202.3,PTS-JUANS,172.016.202.003
3,172.16.202.5,home,172.016.202.005
3,172.16.202.6,PTS-SECURITY,172.016.202.006
3,172.16.202.7,MTN14,172.016.202.007
1,172.16.202.10,PTS-FAIZ,172.016.202.010
1,172.16.202.13,maintmgr,172.016.202.013
1,172.16.202.13,PTS-NERISA,172.016.202.013
1,172.16.202.14,President,172.016.202.014
1,172.16.202.14,plantmgr2,172.016.202.014
1,172.16.202.15,prdmgr,172.016.202.015
1,172.16.202.15,PTS-SYUKRI,172.016.202.015
3,172.16.202.17,PTS-Khanif,172.016.202.017
3,172.16.202.17,qaqcmgr,172.016.202.017
3,172.16.202.17,PTS-BONA,172.016.202.017
1,172.16.202.18,PTS-RONI,172.016.202.018
1,172.16.202.19,acctmgr2,172.016.202.019
1,172.16.202.19,PTS-IDAZ,172.016.202.019
3,172.16.202.20,HR02,172.016.202.020
3,172.16.202.21,PRD05,172.016.202.021
1,172.16.202.22,acct01,172.016.202.022
1,172.16.202.23,acct02,172.016.202.023
1,172.16.202.24,acct03,172.016.202.024
1,172.16.202.22,PTS-LENY,172.016.202.022
1,172.16.202.23,PTS-AYU2,172.016.202.023
1,172.16.202.24,PTS-SUHENDI2,172.016.202.024
1,172.16.202.25,acct04,172.016.202.025
1,172.16.202.26,PTS-ILA,172.016.202.026
3,172.16.202.27,pts-badri,172.016.202.027
1,172.16.202.28,PTS-ISHIGURO,172.016.202.028
3,172.16.202.29,acctnb-2,172.016.202.029
3,172.16.202.29,RE01,172.016.202.029
3,172.16.202.30,PE-11,172.016.202.030
1,172.16.202.31,adm02,172.016.202.031
1,172.16.202.32,adm3,172.016.202.032
1,172.16.202.31,PTS-GADIES,172.016.202.031
1,172.16.202.32,PTS-DIAFRINI,172.016.202.032
1,172.16.202.33,adm-04,172.016.202.033
1,172.16.202.34,adm-05,172.016.202.034
3,172.16.202.35,adm-07,172.016.202.035
3,172.16.202.36,adm-08,172.016.202.036
1,172.16.202.34,PTS-HERA,172.016.202.034
3,172.16.202.35,ADM15,172.016.202.035
3,172.16.202.36,ADM08,172.016.202.036
1,172.16.202.37,PTS-GMHRD,172.016.202.037
1,172.16.202.39,adm10,172.016.202.039
1,172.16.202.39,PTS-DENI,172.016.202.039
3,172.16.202.40,PURCHASING01,172.016.202.040
3,172.16.202.40,ga1,172.016.202.040
3,172.16.202.41,GA03,172.016.202.041
1,172.16.202.44,ga06,172.016.202.044
1,172.16.202.44,PTS-REZA,172.016.202.044
1,172.16.202.45,meeting01,172.016.202.045
1,172.16.202.48,PTS-VSFOREMAN,172.016.202.048
1,172.16.202.49,PTS-AGUS,172.016.202.049
1,172.16.202.49,PTS-ANISA,172.016.202.049
3,172.16.202.50,PTS-IE03,172.016.202.050
3,172.16.202.50,WHS01,172.016.202.050
3,172.16.202.51,warehouse2,172.016.202.051
3,172.16.202.51,WAREHOUSE7,172.016.202.051
1,172.16.202.52,warehouse3,172.016.202.052
1,172.16.202.53,warehouse4,172.016.202.053
1,172.16.202.54,warehouse5,172.016.202.054
1,172.16.202.55,warehouse6,172.016.202.055
1,172.16.202.52,WHS03,172.016.202.052
1,172.16.202.53,WHS04,172.016.202.053
1,172.16.202.54,WHS05,172.016.202.054
1,172.16.202.55,WHS6,172.016.202.055
3,172.16.202.57,prd22,172.016.202.057
1,172.16.202.58,milling06,172.016.202.058
1,172.16.202.59,prd20,172.016.202.059
1,172.16.202.58,PTS-WAWAND,172.016.202.058
1,172.16.202.59,PTS-ANWAR,172.016.202.059
1,172.16.202.63,prd04,172.016.202.063
1,172.16.202.64,prd05,172.016.202.064
1,172.16.202.63,PTS-ADE,172.016.202.063
1,172.16.202.64,PTS-MNODA,172.016.202.064
1,172.16.202.66,prd07,172.016.202.066
3,172.16.202.67,prd08,172.016.202.067
1,172.16.202.66,PTS-JARWO,172.016.202.066
3,172.16.202.67,ADM16,172.016.202.067
3,172.16.202.68,PRD09,172.016.202.068
1,172.16.202.69,prd10,172.016.202.069
3,172.16.202.70,prd11,172.016.202.070
1,172.16.202.71,prd12,172.016.202.071
1,172.16.202.69,PTS-DARMA,172.016.202.069
3,172.16.202.70,SS01,172.016.202.070
1,172.16.202.71,PTS-ARMENDRA,172.016.202.071
1,172.16.202.72,PTS-Raffael,172.016.202.072
3,172.16.202.73,prd15,172.016.202.073
3,172.16.202.73,PTS-VS,172.016.202.073
3,172.16.202.73,PTS-AANG,172.016.202.073
1,172.16.202.74,prd14,172.016.202.074
1,172.16.202.75,prd16,172.016.202.075
1,172.16.202.75,PLANTMANAGER,172.016.202.075
3,172.16.202.76,SCANMARK03,172.016.202.076
3,172.16.202.78,NBEDP24,172.016.202.078
3,172.16.202.79,prd19,172.016.202.079
3,172.16.202.80,QC-01,172.016.202.080
3,172.16.202.81,QC-02,172.016.202.081
3,172.16.202.82,QC03,172.016.202.082
1,172.16.202.84,PTS-HARIS,172.016.202.084
1,172.16.202.85,pe01,172.016.202.085
1,172.16.202.85,PTS-ERLAN,172.016.202.085
3,172.16.202.86,QC12,172.016.202.086
3,172.16.202.87,qc20,172.016.202.087
3,172.16.202.88,qc09,172.016.202.088
3,172.16.202.88,QC-10,172.016.202.088
1,172.16.202.89,pe03,172.016.202.089
1,172.16.202.90,qc11,172.016.202.090
1,172.16.202.89,PTS-ENDI,172.016.202.089
1,172.16.202.90,PTS-RANDI,172.016.202.090
3,172.16.202.92,QC-13,172.016.202.092
3,172.16.202.93,QC14,172.016.202.093
3,172.16.202.94,QC-08,172.016.202.094
3,172.16.202.95,QC16,172.016.202.095
1,172.16.202.96,pe07,172.016.202.096
1,172.16.202.96,PTS-LANJAR,172.016.202.096
8,172.16.202.97,SEIWA,172.016.202.097
10,172.16.202.99,UPS,172.016.202.099
1,172.16.202.101,pts05,172.016.202.101
1,172.16.202.101,SEIWAPORTAL,172.016.202.101
3,172.16.202.102,pkl,172.016.202.102
3,172.16.202.102,QC18,172.016.202.102
3,172.16.202.104,seiwa.com,172.016.202.104
3,172.16.202.105,MTN01,172.016.202.105
3,172.16.202.106,MTN2,172.016.202.106
9,172.16.202.107,accpacc,172.016.202.107
9,172.16.202.108,seiwa01,172.016.202.108
1,172.16.202.109,PTS-MTN04,172.016.202.109
4,172.16.202.111,mtn07,172.016.202.111
3,172.16.202.114,mtn10,172.016.202.114
3,172.16.202.114,HR03,172.016.202.114
3,172.16.202.115,MTN12,172.016.202.115
5,172.16.202.117,incoming-2,172.016.202.117
5,172.16.202.117,poc-ribre,172.016.202.117
1,172.16.202.121,PTS-KHOLID,172.016.202.121
3,172.16.202.122,incoming11,172.016.202.122
3,172.16.202.122,INCOMING-VL,172.016.202.122
1,172.16.202.126,milling01,172.016.202.126
1,172.16.202.127,milling02,172.016.202.127
15,172.16.202.128,milling03,172.016.202.128
1,172.16.202.126,PTS-RENI,172.016.202.126
1,172.16.202.127,SS04,172.016.202.127
15,172.16.202.128,PRINTER,172.016.202.128
3,172.16.202.130,milling05,172.016.202.130
3,172.16.202.130,PTS-RMT01,172.016.202.130
3,172.16.202.131,RMT-01,172.016.202.131
1,172.16.202.132,PTS-IE02,172.016.202.132
1,172.16.202.134,PTS-WIDODO,172.016.202.134
1,172.16.202.135,mitsuboshi-04,172.016.202.135
1,172.16.202.137,PTS-IE04,172.016.202.137
3,172.16.202.139,hp-p2vmr9rllls4,172.016.202.139
3,172.16.202.139,PTS-IIN,172.016.202.139
3,172.16.202.140,prd21,172.016.202.140
1,172.16.202.141,edp-5,172.016.202.141
1,172.16.202.141,PTS-BURHAN,172.016.202.141
3,172.16.202.145,MILLING11,172.016.202.145
3,172.16.202.146,MILLING12,172.016.202.146
3,172.16.202.149,CL01,172.016.202.149
1,172.16.202.150,mtn11,172.016.202.150
1,172.16.202.151,maintmgr2,172.016.202.151
1,172.16.202.150,PTS-TAUFIK,172.016.202.150
1,172.16.202.151,PTS-AWANG,172.016.202.151
3,172.16.202.156,WHS02,172.016.202.156
3,172.16.202.157,PTS-IE06,172.016.202.157
3,172.16.202.157,ie11,172.016.202.157
3,172.16.202.160,CL02,172.016.202.160
2,172.16.202.162,CAMERA,172.016.202.162
2,172.16.202.163,CAMERA,172.016.202.163
2,172.16.202.164,CAMERA,172.016.202.164
2,172.16.202.165,CAMERA,172.016.202.165
2,172.16.202.166,CAMERA,172.016.202.166
2,172.16.202.167,CAMERA,172.016.202.167
2,172.16.202.169,CAMERA,172.016.202.169
2,172.16.202.170,CAMERA,172.016.202.170
1,172.16.202.171,PTS-ARYO,172.016.202.171
3,172.16.202.174,MILLING15,172.016.202.174
3,172.16.202.177,prd28,172.016.202.177
3,172.16.202.177,CC3,172.016.202.177
1,172.16.202.178,PTS-LUKMAN,172.016.202.178
1,172.16.202.179,adm13,172.016.202.179
1,172.16.202.179,PTS-YOBI,172.016.202.179
2,172.16.202.180,CAMERA,172.016.202.180
2,172.16.202.181,CAMERA,172.016.202.181
2,172.16.202.182,CAMERA,172.016.202.182
2,172.16.202.183,CAMERA,172.016.202.183
2,172.16.202.184,CAMERA,172.016.202.184
2,172.16.202.185,CAMERA,172.016.202.185
2,172.16.202.186,CAMERA,172.016.202.186
1,172.16.202.188,PTS-MIVAN,172.016.202.188
15,172.16.202.192,EPSONE0F28D,172.016.202.192
1,172.16.202.193,ga13,172.016.202.193
1,172.16.202.193,PTS-ULPAH,172.016.202.193
1,172.16.202.194,PTS-PANE,172.016.202.194
1,172.16.202.195,pts-esty,172.016.202.195
3,172.16.202.196,iopts,172.016.202.196
1,172.16.202.195,PTS-YUDHA,172.016.202.195
3,172.16.202.196,PTS-AJI,172.016.202.196
6,172.16.202.197,NBEDP05,172.016.202.197
3,172.16.202.198,SS02,172.016.202.198
8,172.16.202.200,odoo,172.016.202.200
3,172.16.202.201,police,172.016.202.201
3,172.16.202.201,RIBSTAR-POC,172.016.202.201
2,172.16.202.202,vise-president,172.016.202.202
3,172.16.202.203,ie-03,172.016.202.203
3,172.16.202.203,PTS-POC1,172.016.202.203
15,172.16.202.204,EPSONE0F292,172.016.202.204
15,172.16.202.205,EPSONE0EEB2,172.016.202.205
1,172.16.202.206,PTS-BAGAS2,172.016.202.206
6,172.16.202.208,MARKETING01,172.016.202.208
5,172.16.202.212,KEYENCE or seiwa-pc,172.016.202.212
5,172.16.202.213,KND1,172.016.202.213
5,172.16.202.214,KND2,172.016.202.214
5,172.16.202.215,seiwaku,172.016.202.215
3,172.16.202.216,prd-22,172.016.202.216
3,172.16.202.217,prd-23,172.016.202.217
3,172.16.202.216,PTS-NAHROWI,172.016.202.216
3,172.16.202.217,PTS-ADI,172.016.202.217
1,172.16.202.218,PPIC-RB5,172.016.202.218
3,172.16.202.219,virtual,172.016.202.219
3,172.16.202.219,PRD25,172.016.202.219
8,172.16.202.221,SEIWANT2,172.016.202.221
3,172.16.202.222,seiwaacc,172.016.202.222
3,172.16.202.222,PTS-ANGGIT,172.016.202.222
8,172.16.202.223,PTSDB-III or ptsns1,172.016.202.223
8,172.16.202.224,PTSFS or seiwafs,172.016.202.224
8,172.16.202.225,PTSNT,172.016.202.225
1,172.16.202.227,PTS-BADRI,172.016.202.227
3,172.16.202.228,MR-04,172.016.202.228
1,172.16.202.229,PTS-TOTO,172.016.202.229
15,172.16.202.231,PRINTER_EXIM,172.016.202.231
15,172.16.202.232,FX-214A5A,172.016.202.232
1,172.16.202.233,pts-andik,172.016.202.233
8,172.16.202.234,PTSDB-I,172.016.202.234
15,172.16.202.235,MTN5200,172.016.202.235
8,172.16.202.237,PTSDB-II,172.016.202.237
1,172.16.202.238,PPIC-RE,172.016.202.238
15,172.16.202.239,EPSON-BC,172.016.202.239
9,172.16.202.240,\N,172.016.202.240
15,172.16.202.241,EPSONB3C7AF,172.016.202.241
3,172.16.202.242,TPB-SERVER,172.016.202.242
15,172.16.202.243,EPSONE0F520,172.016.202.243
15,172.16.202.244,NPIF000D1 or SGSHOPR08131,172.016.202.244
5,172.16.202.246,\n,172.016.202.246
5,172.16.202.247,mitsuboshi-2,172.016.202.247
1,172.16.202.250,PTS-MATSUMURA,172.016.202.250
9,172.16.202.253,seiwaproxy,172.016.202.253
9,172.16.202.254,\n,172.016.202.254
